drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	target_count
DB00066	Follitropin beta	Follicle-stimulating hormone beta subunit, Follitropin alfa/beta, Follitropin beta chain precursor, FSH-B, FSH-beta	9002-68-0	Follistim (Organon), Gonal F, Gonal-F	biotech	approved	Fertility Agents	1
DB00067	Vasopressin	3-Isoleucyl vasopressin, Arginine oxytocin, Arginine vasotocin, Argiprestocin, Pitressin tannate, Vasopressin, isoleucyl, Vasopressin, non-mammalian, Vasotocin	11000-17-2	Pitressin, Pressyn	biotech	approved	Antidiuretics, Vasoconstrictor Agents, Oxytocics	3
DB00068	Interferon beta-1b	Fibroblast interferon, IFN-beta, Interferon beta precursor	145155-23-3	Betaseron, Betaseron (Chiron Corp)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	2
DB00069	Interferon alfacon-1	CIFN, consensus interferon, IFN Alfacon-1, Interferon Consensus, Methionyl, methionyl interferon consensus, methionyl-interferon-consensus, rCon-IFN, Recombinant Consensus Interferon, Recombinant methionyl human consensus interferon	118390-30-0	Advaferon, Infergen	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	2
DB00070	Hyaluronidase	HYAL-1, Hyaluronidase 1 precursor, Hyaluronidase PH-20, Sperm adhesion molecule 1, Sperm surface protein PH-20	488712-31-8	Vitragan, Vitrase	biotech	approved	Anesthetic Adjuvants, Permeabilizing Agents	2
DB00071	Insulin, porcine	Insulin precursor	9004-14-2	Iletin II	biotech	approved	Hypoglycemic Agents	14
DB00072	Trastuzumab	Anti HER2, Ig gamma-1 chain C region	180288-69-1	Herceptin	biotech	approved	Antineoplastic Agents	13
DB00073	Rituximab	AntiCD20, Ig gamma-1 chain C region	174722-31-7	MabThera, Rituxan	biotech	approved	Antineoplastic Agents	12
DB00074	Basiliximab	chimeric mouse-human antiCD25, Ig gamma-1 chain C region	152923-56-3	Simulect (Novartis Pharmaceuticals)	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	13
DB00075	Muromonab	AntiCD3, Muromonab-CD3	140608-64-6	Orthoclone OKT3 (Ortho Biotech)	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	15
DB00076	Digoxin Immune Fab	Ig gamma-2A chain C region, A allele	N/A	DigiFab	biotech	approved	Digoxin Antidote	1
DB00078	Ibritumomab	Ig gamma-2A chain C region, membrane-bound form, radiolabeled murine anti-CD20	174722-31-7	Zevalin (IDEC Pharmaceuticals)	biotech	approved	Antineoplastic Agents	12
DB00080	Daptomycin	LY 146032	103060-53-3	Cubicin	biotech	approved	Anti-Bacterial Agents	4
DB00081	Tositumomab	Ig gamma-1 chain C region	192391-48-3	Bexxar (Corixa Corp)	biotech	approved	Antineoplastic Agents	11
DB00082	Pegvisomant	GH, GH-N, Growth hormone, Growth hormone 1, Pituitary growth hormone, Somatotropin precursor	218620-50-9	Somavert (Pfizer Inc)	biotech	approved	Anabolic Agents, Hormone Replacement Agents	1
DB00083	Botulinum Toxin Type A	BoNT/A, Bontoxilysin A, Botulinum neurotoxin type A precursor, BTX-A	93384-43-1	Botox, BOTOX (Allegran Inc), BOTOX Cosmetic (Allegran Inc), Dysport	biotech	approved	Anti-Wrinkle Agents, Antidystonic Agents, Neuromuscular Blocking Agents	2
DB00085	Pancrelipase	1,4-alpha-D- glucan glucanohydrolase, PA, Pancreatic alpha-amylase precursor	53608-75-6	Cotazym (Organon), Creon, Ku-Zyme (Koichi), Pancrease (Ortho-McNeil), Ultrase (Axcan Scandipharm), Zymase (Organon)	biotech	approved	Enzyme Replacement Agents	3
DB00086	Streptokinase	Streptokinase C precursor	9002-01-1	Streptase (Aventis Behringer GmbH)	biotech	approved	Thrombolytic Agents	2
DB00087	Alemtuzumab	N/A	216503-57-0	Campath, Campath (ILEX Pharmaceuticals LP), MabCampath	biotech	approved	Antineoplastic Agents	11
DB00088	Alglucerase	N/A	37228-64-1	Ceredase	biotech	approved	Enzyme Replacement Agents	1
DB00089	Capromab	Capromab pendetide, In 111 Capromab pendetide, ProstaScint	145464-28-4	ProstaScint	biotech	approved	Imaging Agents	1
DB00090	Laronidase	Alpha-L-iduronidase precursor	210589-09-6	Aldurazyme 	biotech	approved	Enzyme Replacement Agents	1
DB00091	Cyclosporine	Ciclosporin, Cyclosporin, Cyclosporin A	59865-13-3	Gengraf (Abbott labs), Neoral (Novartis), Restasis, Restasis (Allergan Inc), Sandimmune (Novartis), Sangcya	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents, Enzyme Inhibitors, Dermatologic Agents, Immunosuppressive Agents, Antifungal Agents	3
DB00092	Alefacept	ASP0485	222535-22-0	Amevive	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	11
DB00093	Felypressin	2-(L-Phenylalanine)-8-L-lysinevasopressin	56-59-7	Felipresina [INN-Spanish], Felipressina [DCIT], Felypressin [USAN:BAN:INN], Felypressine [INN-French], Felypressinum [INN-Latin], Octapressin	biotech	approved	Renal Agents, Vasoconstrictor Agents	1
DB00094	Urofollitropin	Follicle-stimulating hormone beta subunit, Follitropin beta chain precursor, FSH-B, FSH-beta	146479-72-3	Fertinex	biotech	approved	Fertility Agents	1
DB00095	Efalizumab	anti alphaL integrin, antiCD11 alpha, hu1124, Raptiva	214745-43-4	Raptiva, Raptiva (Genentech Inc)	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	11
DB00096	Serum albumin	Serum albumin precursor	9048-49-1	Optison, Perflutren Protein-Type A Microspheres	biotech	approved	Serum substitutes	0
DB00097	Choriogonadotropin alfa	CG-beta, Choriogonadotropin beta chain precursor, Chorionic gonadotrophin beta subunit	177073-44-8	Novarel, Ovidrel, Pregnyl, Profasi	biotech	approved	Fertility Agents, Gonadotropins	2
DB00098	Antithymocyte globulin	rabbit ATG, rATG, Thymoglobulin	N/A	ATG-Fresenius, ATG-Fresenius S, Genzyme, Thymoglobulin SangStat Medical	biotech	approved	Immunomodulatory Agents	9
DB00099	Filgrastim	G-CSF, Granulocyte colony-stimulating factor precursor, Lenograstim, Pluripoietin	143011-72-7	Neupogen, Neupogen (Amgen Inc.)	biotech	approved	Immunomodulatory Agents, Anti-Infective Agents, Antineutropenic Agents	2
DB00100	Coagulation Factor IX	Christmas factor, Coagulation factor IX precursor, Plasma thromboplastin component, PTC	9001-28-9	Benefix (Genetics Institute)	biotech	approved	Coagulants, Thrombotic Agents	7
DB00102	Becaplermin	c-sis, PDGF B-chain, PDGF-2, Platelet-derived growth factor B chain precursor, Platelet-derived growth factor beta polypeptide	165101-51-9	Regranex, Regranex (OMJ Pharmaceuticals)	biotech	approved	Anti-Ulcer Agents, Topical	3
DB00103	Agalsidase beta	Agalsidase alfa, Alpha-D- galactoside galactohydrolase, Alpha-D-galactosidase A, Alpha-galactosidase A precursor, Melibiase	104138-64-9	Fabrazyme (Genzyme Corp), Fabrazyme, Replagal	biotech	approved	Enzyme Replacement Agents	1
DB00104	Octreotide	Octreotida [Spanish], Octreotidum [Latin], Octrotide	83150-76-9	Atrigel, Longastatin, Sandostatin, Sandostatin LAR	small molecule	approved	Anabolic Agents, Hormone Replacement Agents, Antineoplastic Agents, Hormonal, Gastrointestinal Agents	3
DB00105	Interferon Alfa-2b, Recombinant	Interferon alfa-2b, rIFN-alpha-2b	99210-65-8	Intron A (Schering Corp)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	2
DB00106	Abarelix	N/A	183552-38-7	Plenaxis	biotech	approved, withdrawn	Antineoplastic Agents, Anti-Testosterone Agents	1
DB00107	Oxytocin	Pitocin, Syntocinon	50-56-6	Oxytocin (BAM Biotech), Pitocin (Parke-Davis), Syntocinon (Sandoz)	biotech	approved	Anti-tocolytic Agents, Labor Induction Agents, Oxytocics	2
DB00108	Natalizumab	Anti-alpha4 integrin, Anti-VLA4	189261-10-7	Tysabri	biotech	approved	Immunomodulatory Agents	12
DB00109	Enfuvirtide	Envelope polyprotein GP160 precursor [Contains: Exterior membrane glycoprotein,GP120, Transmembrane glycoprotein,GP41]	159519-65-0	Fuzeon, Fuzeon (Roche Pharmaceuticals)	biotech	approved	Anti-HIV Agents, HIV Fusion Inhibitors	1
DB00110	Palivizumab	anti-RSV, Synagis	188039-54-5	Synagis	biotech	approved	Antiviral Agents	11
DB00111	Daclizumab	Anti-IL-2, Humanized antiCD25, Ig gamma-1 chain C region	152923-56-3	Zenapax (Hoffmann-La Roche Inc)	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	12
DB00112	Bevacizumab	antiVEGF, Avastin, R-435	216974-75-3	Avastin, Avastin (Genentech Inc)	biotech	approved	Antineoplastic Agents, Antiangiogenesis Agents	11
DB00113	Arcitumomab	anti-Carcinoembryonic Antigen Monoclonal Antibody Fab' Fragment, IMMU-4	154361-48-5	CEA-Scan	biotech	approved	Diagnostic Agents, Imaging Agents	1
DB00114	Pyridoxal Phosphate	Codecarboxylase, PLP, Pyridoxal 5-phosphate, Pyridoxal 5'-phosphate, Pyridoxal P, Pyridoxal-5P, Pyridoxal-P, Pyromijin, Vitamin B6	54-47-7	Biosechs, Hairoxal, Hiadelon, Himitan, Pidopidon, Vitazechs	small molecule	nutraceutical	Dietary supplement, Micronutrient, Vitamin B Complex	74
DB00115	Cyanocobalamin	Cyanocob(III)alamin, Vitamin B12, Vitamin B12 complex	68-19-9	Bedoz, Berocca PN, Berubigen, Cobex, Cobolin-M, Crystamine, Cyanoject, Cyomin, Depinar, Neuroforte-R, Primabalt, Rubivite, Rubramin PC, Ruvite, Shovite, Vibal, Vitabee 12	small molecule	approved, nutraceutical	Antianemic Agents, Essential Vitamin, Vitamins (Vitamin B Complex)	6
DB00116	Tetrahydrofolic acid	5,6,7,8-tetrahydrofolate, 5,6,7,8-tetrahydrofolic acid, tetrahydrofolate	135-16-0	N/A	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient	18
DB00117	L-Histidine	(S)-4-(2-Amino-2-carboxyethyl)imidazole, (S)-a-Amino-1H-imidazole-4-propanoic acid, (S)-alpha-Amino-1H-imidazole-4-propionic acid, (S)-Histidine, Glyoxaline-5-alanine, Histidine, L-(-)-Histidine	71-00-1	N/A	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Conditionally Essential Amino Acids	4
DB00118	S-Adenosylmethionine	Acylcarnitine, AdoMet, S-adenosyl-L-methionine, SAM, SAM-e, SAMe	29908-03-0	Sam-Sulfate, SAMe Rx-Mood	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient	6
DB00119	Pyruvic acid	2-Oxopropanoate, 2-Oxopropanoic acid, 2-Oxopropionic acid, a-Ketopropionic acid, Acetylformic acid, BTS, Pyroracemic acid, Pyruvate	127-17-3	N/A	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient	14
DB00120	L-Phenylalanine	(S)-alpha-Amino-beta-phenylpropionic acid, 3-phenyl-L-alanine, Phe, β-phenyl-L-alanine	63-91-2	N/A	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Essential Amino Acids	7
DB00121	Biotin	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid, cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid, Coenzyme R, D-Biotin, D(+)-Biotin, Vitamin B7, Vitamin H	58-85-5	Biodermatin, Bioepiderm, Bios II, Biotin Forte, Factor S, Lutavit H2, Meribin, Rovimix H2	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Vitamins (Vitamin B Complex), Vitamin B Complex	9
DB00122	Choline	Bilineurine, Choline cation, Choline ion, Cholinum, N-trimethylethanolamine, N,N,N-trimethylethanol-ammonium, trimethylethanolamine	62-49-7	N/A	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Nootropic Agents, Lipotropic Agents	7
DB00123	L-Lysine	(S)-2,6-diaminohexanoic acid, (S)-lysine, (S)-α,ε-diaminocaproic acid, L-lys, LYS, lysine acid	56-87-1	Enisyl	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Essential Amino Acids	5
DB00125	L-Arginine	(S)-2-Amino-5-guanidinovaleric acid, Arg, L-(+)-Arginine, L-Arg	74-79-3	Argamine, Argivene, Detoxargin, Levargin, Minophagen A, R-Gene 10	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Conditionally Essential Amino Acids	9
DB00126	Vitamin C	Ascorbate, Ascorbic Acid, L-Ascorbate, L-Ascorbic Acid, L-Lyxoascorbic Acid, L-Xyloascorbic Acid	50-81-7	Adenex, Allercorb, Antiscorbic Vitamin, Antiscorbutic Vitamin, Arco-Cee, Ascoltin, Ascor-B.I.D., Ascorb, Ascorbajen, Ascorbicab, Ascorbicap, Ascorbicin, Ascorbin, Ascorbutina, Ascorin, Ascorteal, Ascorvit, C-Level, C-Long, C-Quin, C-Span, C-Vimin, Cantan, Cantaxin, Catavin C, Ce Lent, Cebicure, Cebid, Cebion, Cebione, Cecon, Cee-Caps Td, Cee-Vite, Cegiolan, Ceglion, Celaskon, Celin, Cemagyl, Cemill, Cenetone, Cenolate, Cereon, Cergona, Cescorbat, Cetamid, Cetane, Cetane-Caps Tc, Cetane-Caps Td, Cetebe, Cetemican, Cevalin, Cevatine, Cevex, Cevi-Bid, Cevimin, Cevital, Cevitamic Acid, Cevitamin, Cevitan, Cevitex, Cewin, Ciamin, Cipca, Citriscorb, Colascor, Concemin, Davitamon C, Duoscorb, Hicee, Hybrin, IDO-C, Kyselina Askorbova, Laroscorbine, Lemascorb, Liqui-Cee, Meri-C, Natrascorb, Planavit C, Proscorbin, Redoxon, Ribena, Roscorbic, Scorbacid, Scorbu-C, Secorbate, Sodascorbate, Testascorbic, Vicelat, Vicin, Vicomin C, Viforcit, Viscorin, Vitace, Vitacee, Vitacimin, Vitacin, Vitamisin, Vitascorbol, Xitix	small molecule	approved, nutraceutical	Antioxidants, Essential Vitamins, Free Radical Scavengers, Vitamins (Vitamin C), Vitamins	26
DB00127	Spermine	1, 4-Bis(aminopropyl)butanediamine, 4,9-Diaza-1,12-dodecanediamine, 4,9-Diazadodecane-1,12-diamine, Spermin, Spermine dihydrate	71-44-3	Gerontine, Musculamine, Neuridine	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient	4
DB00128	L-Aspartic Acid	(+)-Aspartic acid, (2S)-Aspartic acid, (L)-Aspartic acid, (S)-Aminobutanedioic acid, (S)-Aspartic acid, Acide aspartique [INN-French], Acido aspartico [INN-Spanish], Acidum asparticum, Aminosuccinic acid, Asparagic acid, Asparaginic acid, Asparaginsaeure [German], Aspartate, Aspartic acid, H-Asp-OH, L-(+)-Aspartic acid, L-2-Aminobutanedioic acid, L-Aminosuccinic acid, L-Asparagic acid, L-Asparaginic acid, L-Asparaginsaeure, L-Asparaginsyra, L-Aspartinsaeure	56-84-8	Aspatofort	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Non-Essential Amino Acids	24
DB00129	L-Ornithine	(S)-2,5-Diaminopentanoate, (S)-2,5-Diaminopentanoic acid, (S)-2,5-diaminovaleric acid, (S)-ornithine	70-26-8	OKG	small molecule	approved, nutraceutical	Dietary supplement, Micronutrient, Non-Essential Amino Acids	14
